Reference Descriptor,Reference,Descriptor,Primary,How to Prepare,Suggested Brands
Nutty,"Almonds and Walnuts, chopped",Nutty,Nutty/Cocoa,"Chop the almonds and walnuts separately in blenders for 45 seconds. Combine equal amounts of the chopped nuts. Put approx. 30 g. in a plastic or glass cup, cover.","Diamond sliced almonds, Diamond shelled walnuts"
Nutty,Roasted hazelnuts,Nutty,Nutty/Cocoa,Place roasted hazelnuts in a glass or plastic cup and cover. ,
Nutty,“Le Nez du Café Revelation” (36 vials) – Vial # 29: Roasted Hazelnut,Nutty,Nutty/Cocoa,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Nutty,"Scentone T100 – Vial #40, Hazelnut",Nutty,Nutty/Cocoa,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Scentone” T100
Cocoa,Natural unsweetened cocoa powder,Cocoa,Nutty/Cocoa,"Mix ¼ teaspoon with 100mL water in a glass or plastic container, cover. ",Hershey’s Cocoa Powder
Cocoa,“Le Nez du Café Revelation” (36 vials) – Vial #26: Dark Chocolate,Cocoa,Nutty/Cocoa,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Cocoa,Scentone T100 – Vial #56: Dark Chocolate,Cocoa,Nutty/Cocoa,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Scentone” T100
Spice,Spices,Spice,Spice,Mix 0.25 gr ground cinnamon + 0.25 gr ground allspice + 0.25 gr ground nutmeg + 0.06 gr ground clove. Serve ¼ teaspoon of mixture in a glass or plastic cup. Cover. ,
Spice,“Le Nez du Vin” – Vial #41: Cinnamon,Spice,Spice,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Vin” 
Spice,“Le Nez du Vin” – Vial #42: Clove,Spice,Spice,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Vin”
Spice,Scentone T100 – Vial #76: Cinnamon ,Spice,Spice,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
Spice,Scentone T100 – Vial #79: Clove,Spice,Spice,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
Roasted,Dark Roasted Coffee (Agtron #35),Roasted,Roasted,Place ground coffee in a plastic or glass cup and cover. ,
Roasted,“Le Nez du Café Revelation” (36 vials) – Vial # 34: Roasted coffee ,Roasted,Roasted,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Roasted,"Scentone T100 – Vial #50, Roasted Coffee Bean",Roasted,Roasted,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
Chemical,Adhesive bandage,Chemical,Other,Place one plastic Band Aid adhesive bandage in a covered glass or plastic cup. ,Band Aid
Chemical,Iodine,Chemical,Other,Place ¼ cup iodine in a covered glass or plastic cup. ,
Chemical,“Le Nez du Café Revelation” (36 vials) – Vial # 35: Medicinal,Chemical,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Musty/earthy,Commercial potting soil,Musty/earthy,Other,"Put 20g potting soil in a plastic or glass cup, cover.",Miracle-gro potting soil 
Musty/earthy,“Le Nez du Café Revelation” (36 vials) – Vial # 1: Earthy,Musty/earthy,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Musty/earthy,Scentone T100 – Vial #92 - Mushroom ,Musty/earthy,Other,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
Woody,Popsicle sticks ,Woody,Other,Break popsicle sticks to fit in sample cups of any size. Cover with a plastic lid. This may be prepared in advance.,
Fruity,Kiwi and apple syrups,Fruity,Fruity,Blend equal parts of kiwifruit syrup and apple syrups; place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet (be mindful it is plain fruit syrup, with no caramel or butter flavors)"
Berry,Blackberry syrup,Berry,Fruity,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
Berry,Raspberry syrup,Berry,Fruity,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
Citrus Fruit,Lime syrup,Citrus Fruit,Fruity,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
Vanilla/vanillin,Vanilla syrup,Vanilla/vanillin,Sweet,Place in a glass or plastic cup and cover. ,"Monin, Torani, DaVinci Gourmet "
Brown Sugar,Caramel syrup,Brown Sugar,Sweet,Place in a glass or plastic cup and cover. ,"Monin, Torani, DaVinci Gourmet "
Nutty,Almond syrup,Nutty,Nutty/Cocoa,Place in a glass or plastic cup and cover. ,"Monin, Torani, DaVinci Gourmet "
Spice,Pumpkin spice syrup,Spice,Spice,Place in a glass or plastic cup and cover. ,"Monin, Torani, DaVinci Gourmet "
Cereal,Mix of breakfast cereals,Cereal,Roasted,"Mix equal parts of puffed rice, corn flakes and oat breakfast cereals. Put in a blender and “pulse” blend into small particles. Place 1 tablespoon in a medium snifter. Cover.","General Mills, Kellogg’s, Nestlé"
Cereal,“Le Nez du Café Revelation” (36 vials) – Vial # 22: Toast ,Cereal,Roasted,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Cereal,"Scentone T100 – Vial #48, Malt",Cereal,Roasted,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
Cereal,“Le Nez du Café Revelation” (36 vials) – Vial # 23: Malt,Cereal,Roasted,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Burnt,Scentone T100 – Vial #49: Burnt rice ,Burnt,Roasted,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
